Email Text,Email Type
"The lecture videos for Week 5 have been uploaded. Access them here: https://onlinecourses.nptel.ac.in/course/unit?unit=5. Assignment due Friday, 23:59 IST.",Safe Email
"Your package has shipped! Track your order here: https://tracking.fedex.com/12345. Estimated delivery: Thursday.",Safe Email
"Reminder: your dentist appointment is tomorrow at 3pm. Reschedule at https://booking.dentalcare.com/reschedule if needed.",Safe Email
"Here are today's top headlines from our newsletter: https://news.example.com/daily. Unsubscribe here: https://news.example.com/unsubscribe.",Safe Email
"Meeting invite: Project sync tomorrow 10am. Join via https://zoom.us/j/123456789.",Safe Email
"Your monthly statement is ready to view at https://mybank.com/statements (login required). No action needed if all charges look correct.",Safe Email
"Thanks for registering for the workshop. Join here: https://webinar.example.com/join?id=987. See you there!",Safe Email
"Your flight itinerary is confirmed. View details at https://airline.com/mytrip. Check-in opens 24 hours before departure.",Safe Email
"New comment on your post: 'Great point!' View it here: https://forum.example.com/thread/456.",Safe Email
"Your subscription renews on the 1st. Manage your plan at https://service.com/account/billing.",Safe Email
"Course announcement: Assignment 3 has been posted at https://university.edu/course/assignment3, due next Monday 11:59pm.",Safe Email
"Your document has been shared with you. View it here: https://drive.example.com/file/abcxyz.",Safe Email
"Weekly digest: catch up on what you missed at https://community.example.com/digest. Unsubscribe anytime.",Safe Email
"Your Zoom meeting starts in 15 minutes. Join here: https://zoom.us/j/998877.",Safe Email
"Invoice #4521 is attached and also available online at https://billing.example.com/invoice/4521. Due in 30 days.",Safe Email
"Your library book is due back on the 12th. Renew online at https://library.example.edu/renew.",Safe Email
"Team standup notes and recording are here: https://notion.so/team/standup-notes-0925.",Safe Email
"Your ride receipt is ready. View it at https://uber.com/receipt/998877.",Safe Email
"New job matching your profile: view it at https://jobs.example.com/listing/3321.",Safe Email
"Your survey response has been recorded. See the summary at https://forms.example.com/summary/778.",Safe Email
"Hi team, attaching the minutes from today's meeting for reference.",Safe Email
"Happy birthday! Hope you have a wonderful day, let's catch up soon.",Safe Email
